sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
1,91.0,Commerce,58.0,Sci&Tech,55.0,Mkt&HR,58.8,270000.0,0,1
2,78.33,Science,77.48,Sci&Tech,86.5,Mkt&Fin,66.28,200000.0,0,1
3,,Arts,64.0,Comm&Mgmt,75.0,Mkt&Fin,57.8,250000.0,0,1
4,52.0,Science,,Sci&Tech,66.0,Mkt&HR,59.43,,0,1
5,73.6,Commerce,73.3,Comm&Mgmt,96.8,Mkt&Fin,55.5,425000.0,0,1
6,49.8,Science,67.25,Sci&Tech,55.0,Mkt&Fin,51.58,,0,1
7,49.2,Commerce,79.0,Comm&Mgmt,74.28,Mkt&Fin,53.29,,1,0
8,64.0,Science,66.0,Sci&Tech,67.0,Mkt&Fin,62.14,252000.0,0,1
9,79.0,Commerce,72.0,Comm&Mgmt,91.34,Mkt&Fin,61.29,231000.0,0,1
10,70.0,Commerce,61.0,Comm&Mgmt,54.0,Mkt&Fin,52.21,,0,1
11,,Commerce,60.0,Comm&Mgmt,62.0,Mkt&HR,60.85,260000.0,0,1
12,68.4,Commerce,78.3,Comm&Mgmt,60.0,Mkt&Fin,63.7,250000.0,0,1
13,55.0,Science,65.0,Comm&Mgmt,62.0,Mkt&HR,65.04,,1,0
14,87.0,Commerce,59.0,Comm&Mgmt,68.0,Mkt&Fin,68.63,218000.0,1,0
15,,Commerce,50.0,Comm&Mgmt,76.0,Mkt&HR,54.96,,0,1
16,75.0,Commerce,69.0,Comm&Mgmt,72.0,Mkt&Fin,64.66,200000.0,1,0
17,66.2,Commerce,65.6,Comm&Mgmt,60.0,Mkt&Fin,62.54,300000.0,0,1
18,67.0,Commerce,64.0,Comm&Mgmt,60.0,Mkt&Fin,,,1,0
19,,Commerce,64.0,Comm&Mgmt,68.0,Mkt&HR,64.08,,1,0
20,67.0,Arts,,Comm&Mgmt,50.48,Mkt&Fin,77.89,236000.0,0,1
21,65.0,Commerce,66.0,Comm&Mgmt,50.0,Mkt&HR,56.7,265000.0,0,1
22,76.0,Commerce,85.0,Comm&Mgmt,95.0,Mkt&Fin,69.06,393000.0,1,0
